School District,City,County,State
Lodi Public Schools,Lodi,Bergen,New Jersey
Logan Township School District,Logan Township,Gloucester,New Jersey
Long Beach Island School District,Ship Bottom,Ocean,New Jersey
Long Branch Public Schools,Long Branch,Monmouth,New Jersey
Long Hill Township School District,Long Hill Township,Morris,New Jersey
Longport Borough School District,Longport,Atlantic,New Jersey
Lopatcong Township School District,Lopatcong Township,Warren,New Jersey
Lower Alloways Creek Township School District,Lower Alloways Creek Township,Salem,New Jersey
Lower Cape May Regional School District,Cape May,Cape May,New Jersey
Lower Township Elementary School District,Lower Township,Cape May,New Jersey
Lumberton Township School District,Lumberton,Burlington,New Jersey
Lyndhurst School District,Lyndhurst,Bergen,New Jersey
Madison Public Schools,Madison,Morris,New Jersey
Magnolia School District,Magnolia,Camden,New Jersey
Mahwah Township Public Schools,Mahwah,Bergen,New Jersey
Mainland Regional High School District,Linwood,Atlantic,New Jersey
Manalapan-Englishtown Regional School District,Manalapan Township,Monmouth,New Jersey
Manasquan Public Schools,Manasquan,Monmouth,New Jersey
Manchester Regional High School District,Haledon,Passaic,New Jersey
Manchester Township School District,Manchester Township,Ocean,New Jersey
Mannington Township School District,Mannington Township,Salem,New Jersey
Mansfield Township School District (Burlington County),Mansfield Township,Burlington,New Jersey
Mansfield Township School District (Warren County),Mansfield Township,Warren,New Jersey
Mantua Township School District,Mantua Township,Gloucester,New Jersey
Manville School District,Manville,Somerset,New Jersey
Maple Shade School District,Maple Shade,Burlington,New Jersey
Margate City Schools,Margate City,Atlantic,New Jersey
Marlboro Public Schools,Marlboro Township,Monmouth,New Jersey
Matawan-Aberdeen Regional School District,Matawan,Monmouth,New Jersey
Maurice River Township School District,Maurice River Township,Cumberland,New Jersey
Maywood Public Schools,Maywood,Bergen,New Jersey
Medford Lakes Public Schools,Medford Lakes,Burlington,New Jersey
Medford Township Public Schools,Medford Township,Burlington,New Jersey
Mendham Borough Schools,Mendham,Morris,New Jersey
Mendham Township Public Schools,Mendham Township,Morris,New Jersey
Merchantville School District,Merchantville,Camden,New Jersey
Metuchen School District,Metuchen,Middlesex,New Jersey
Middlesex Borough School District,Middlesex,Middlesex,New Jersey
Middle Township Public Schools,Middle Township,Cape May,New Jersey
Middletown Township School District,Middletown Township,Monmouth,New Jersey
Midland Park School District,Midland Park,Bergen,New Jersey
Milford Borough School District,Milford,Hunterdon,New Jersey
Millburn Township Public Schools,Millburn,Essex,New Jersey
Millstone Township Schools,Millstone Township,Monmouth,New Jersey
Milltown Public Schools,Milltown,Middlesex,New Jersey
Millville Public Schools,Millville,Cumberland,New Jersey
Mine Hill Township School District,Mine Hill Township,Morris,New Jersey
Monmouth Beach School District,Monmouth Beach,Monmouth,New Jersey
Monmouth Regional High School District,Tinton Falls,Monmouth,New Jersey
Monroe Township Public Schools (Gloucester County),Monroe Township,Gloucester,New Jersey
Monroe Township School District (Middlesex County),Monroe Township,Middlesex,New Jersey
Montague Township School District,Montague Township,Sussex,New Jersey
Montclair Public Schools,Montclair,Essex,New Jersey
Montgomery Township School District,Montgomery Township,Somerset,New Jersey
Montvale Public Schools,Montvale,Bergen,New Jersey
Montville Township School District,Montville Township,Morris,New Jersey
Moonachie School District,Moonachie,Bergen,New Jersey
Moorestown Township Public Schools,Moorestown,Burlington,New Jersey
Morris Hills Regional High School District,Rockaway,Morris,New Jersey
Morris Plains Schools,Morris Plains,Morris,New Jersey
Morris School District,Morristown,Morris,New Jersey
Mountain Lakes Schools,Mountain Lakes,Morris,New Jersey
Mountainside School District,Mountainside,Union,New Jersey
Mount Arlington School District,Mount Arlington,Morris,New Jersey
Mount Ephraim Public Schools,Mount Ephraim,Camden,New Jersey
Mount Holly Township Public Schools,Mount Holly,Burlington,New Jersey
Mount Laurel Schools,Mount Laurel,Burlington,New Jersey
Mount Olive Township School District,Mount Olive Township,Morris,New Jersey
Mullica Township School District,Mullica Township,Atlantic,New Jersey
National Park School District,National Park,Gloucester,New Jersey
Neptune City School District,Neptune City,Monmouth,New Jersey
Neptune Township School District,Neptune Township,Monmouth,New Jersey
Netcong School District,Netcong,Morris,New Jersey
Newark Public Schools,Newark,Essex,New Jersey
New Brunswick Public Schools,New Brunswick,Middlesex,New Jersey
Newfield Elementary School District,Newfield,Gloucester,New Jersey
New Hanover Township School District,New Hanover Township,Burlington,New Jersey
New Milford School District,New Milford,Bergen,New Jersey
New Providence School District,New Providence,Union,New Jersey
Newton Public School District,Newton,Sussex,New Jersey
North Arlington School District,North Arlington,Bergen,New Jersey
North Bergen School District,North Bergen,Hudson,New Jersey
North Brunswick Township Schools,North Brunswick Township,Middlesex,New Jersey
North Caldwell Public Schools,North Caldwell,Essex,New Jersey
Northern Burlington County Regional School District,Mansfield Township,Burlington,New Jersey
Northern Highlands Regional High School District,Allendale,Bergen,New Jersey
Northern Valley Regional High School District,Demarest,Bergen,New Jersey
Northfield Community School District,Northfield,Atlantic,New Jersey
North Haledon School District,North Haledon,Passaic,New Jersey
North Hanover Township School District,North Hanover Township,Burlington,New Jersey
North Hunterdon-Voorhees Regional High School District,Clinton,Hunterdon,New Jersey
North Plainfield School District,North Plainfield,Somerset,New Jersey
Northvale Public Schools,Northvale,Bergen,New Jersey
North Warren Regional School District,Blairstown,Warren,New Jersey
North Wildwood School District,North Wildwood,Cape May,New Jersey
Norwood Public School District,Norwood,Bergen,New Jersey
Nutley Public Schools,Nutley,Essex,New Jersey
Oakland Public Schools,Oakland,Bergen,New Jersey
Oaklyn Borough School District,Oaklyn,Camden,New Jersey
Ocean City School District,Ocean City,Cape May,New Jersey
Ocean Gate School District,Ocean Gate,Ocean,New Jersey
Oceanport Borough School District,Oceanport,Monmouth,New Jersey
Ocean Township School District,Ocean Township,Monmouth,New Jersey
Ogdensburg Borough School District,Ogdensburg,Sussex,New Jersey
Old Bridge Township Public Schools,Old Bridge Township,Middlesex,New Jersey
Oldmans Township School District,Oldmans Township,Salem,New Jersey
Old Tappan School District,Old Tappan,Bergen,New Jersey
Oradell Public School District,Oradell,Bergen,New Jersey
Orange Public Schools,Orange,Essex,New Jersey
Oxford Central School,Oxford,Warren,New Jersey
Palisades Park Public School District,Palisades Park,Bergen,New Jersey
Palmyra School District,Palmyra,Burlington,New Jersey
Paramus Public Schools,Paramus,Bergen,New Jersey
Park Ridge Public Schools,Park Ridge,Bergen,New Jersey
Parsippany-Troy Hills School District,Parsippany,Morris,New Jersey
Pascack Valley Regional High School District,Montvale,Bergen,New Jersey
Passaic Public Schools,Passaic,Passaic,New Jersey
Passaic Valley Regional High School District,Little Falls,Passaic,New Jersey
Paterson Public Schools,Paterson,Passaic,New Jersey
Paulsboro Public Schools,Paulsboro,Gloucester,New Jersey
Pemberton Township School District,Pemberton Township,Burlington,New Jersey
Pennsauken Public Schools,Pennsauken,Camden,New Jersey
Penns Grove-Carneys Point Regional School District,Penns Grove,Salem,New Jersey
Pennsville School District,Pennsville,Salem,New Jersey
Pequannock Township School District,Pequannock Township,Morris,New Jersey
Perth Amboy Public Schools,Perth Amboy,Middlesex,New Jersey
Phillipsburg School District,Phillipsburg,Warren,New Jersey
Pine Hill School District,Pine Hill,Camden,New Jersey
Pinelands Regional School District,Little Egg Harbor Township,Ocean,New Jersey
Piscataway Township Schools,Piscataway,Middlesex,New Jersey
Pitman Public Schools,Pitman,Gloucester,New Jersey
Pittsgrove Township School District,Pittsgrove Township,Salem,New Jersey
Plainfield Public School District,Plainfield,Union,New Jersey
Pleasantville Public Schools,Pleasantville,Atlantic,New Jersey
Plumsted Township School District,Plumsted Township,Ocean,New Jersey
Pohatcong Township School District,Pohatcong Township,Warren,New Jersey
Point Pleasant Beach School District,Point Pleasant Beach,Ocean,New Jersey
Point Pleasant School District,Point Pleasant,Ocean,New Jersey
Pompton Lakes School District,Pompton Lakes,Passaic,New Jersey
Port Republic School District,Port Republic,Atlantic,New Jersey
Princeton Regional Schools,Princeton,Mercer,New Jersey
Prospect Park School District,Prospect Park,Passaic,New Jersey
Quinton Township School District,Quinton Township,Salem,New Jersey
Rahway Public Schools,Rahway,Union,New Jersey
Ramapo Indian Hills Regional High School District,Oakland,Bergen,New Jersey
Ramsey Public School District,Ramsey,Bergen,New Jersey
Rancocas Valley Regional High School District,Mount Holly,Burlington,New Jersey
Randolph Township Schools,Randolph Township,Morris,New Jersey
Readington Township Public Schools,Readington Township,Hunterdon,New Jersey
Red Bank Borough Public Schools,Red Bank,Monmouth,New Jersey
Red Bank Regional High School District,Little Silver,Monmouth,New Jersey
Ridgefield Borough School District,Ridgefield,Bergen,New Jersey
Ridgefield Park Public Schools,Ridgefield Park,Bergen,New Jersey
Ridgewood Public Schools,Ridgewood,Bergen,New Jersey
Ringwood School District,Ringwood,Passaic,New Jersey
Riverdale Public School,Riverdale,Morris,New Jersey
River Dell Regional School District,Oradell,Bergen,New Jersey
River Edge School District,River Edge,Bergen,New Jersey
Riverside Township Public School District,Riverside Township,Burlington,New Jersey
Riverton School District,Riverton,Burlington,New Jersey
River Vale Public Schools,River Vale,Bergen,New Jersey
Robbinsville Public Schools,Robbinsville Township,Mercer,New Jersey
Rochelle Park School District,Rochelle Park,Bergen,New Jersey
Rockaway Borough School District,Rockaway,Morris,New Jersey
Rockaway Township School District,Rockaway Township,Morris,New Jersey
Rockleigh Borough School District,Rockleigh,Bergen,New Jersey
Roosevelt Public School District,Roosevelt,Monmouth,New Jersey
Roseland School District,Roseland,Essex,New Jersey
Roselle Borough School District,Roselle,Union,New Jersey
Roselle Park School District,Roselle Park,Union,New Jersey
Roxbury Township School District,Roxbury Township,Morris,New Jersey
Rumson-Fair Haven Regional High School District,Rumson,Monmouth,New Jersey
Rumson School District,Rumson,Monmouth,New Jersey
Runnemede Borough School District,Runnemede,Camden,New Jersey
Rutherford School District,Rutherford,Bergen,New Jersey
Saddle Brook Public Schools,Saddle Brook,Bergen,New Jersey
Saddle River School District,Saddle River,Bergen,New Jersey
Salem City School District,Salem,Salem,New Jersey
Sandyston-Walpack Consolidated School District,Sandyston Township,Sussex,New Jersey
Sayreville School District,Sayreville,Middlesex,New Jersey
School District of the Chathams,Chatham,Morris,New Jersey
Scotch Plains-Fanwood Regional School District,Scotch Plains,Union,New Jersey
Sea Girt Elementary School District,Sea Girt,Monmouth,New Jersey
Sea Isle City School District,Sea Isle City,Cape May,New Jersey
Seaside Heights School District,Seaside Heights,Ocean,New Jersey
Seaside Park Borough School District,Seaside Park,Ocean,New Jersey
Secaucus Public School District,Secaucus,Hudson,New Jersey
Shamong Township School District,Shamong Township,Burlington,New Jersey
Shore Regional High School District,West Long Branch,Monmouth,New Jersey
Shrewsbury Borough School District,Shrewsbury,Monmouth,New Jersey
Somerdale School District,Somerdale,Camden,New Jersey
Somerset Hills School District,Bernardsville,Somerset,New Jersey
Somers Point School District,Somers Point,Atlantic,New Jersey
Somerville Public Schools,Somerville,Somerset,New Jersey
South Amboy Public Schools,South Amboy,Middlesex,New Jersey
Southampton Township Schools,Southampton Township,Burlington,New Jersey
South Bound Brook School District,South Bound Brook,Somerset,New Jersey
South Brunswick School District,South Brunswick Township,Middlesex,New Jersey
Southern Regional School District,Stafford Township,Ocean,New Jersey
South Hackensack School District,South Hackensack,Bergen,New Jersey
South Harrison Township School District,South Harrison Township,Gloucester,New Jersey
South Hunterdon Regional School District,West Amwell Township,Hunterdon,New Jersey
South Orange-Maplewood School District,South Orange,Essex,New Jersey
South Plainfield School District,South Plainfield,Middlesex,New Jersey
South River Public Schools,South River,Middlesex,New Jersey
Sparta Township Public School District,Sparta Township,Sussex,New Jersey
Spotswood Public Schools,Spotswood,Middlesex,New Jersey
Springfield Public Schools,Springfield,Union,New Jersey
Springfield Township School District,Springfield Township,Burlington,New Jersey
Spring Lake Borough School District,Spring Lake,Monmouth,New Jersey
Spring Lake Heights School District,Spring Lake Heights,Monmouth,New Jersey
Stafford Township School District,Stafford Township,Ocean,New Jersey
Stanhope Public Schools,Stanhope,Sussex,New Jersey
Sterling High School District,Somerdale,Camden,New Jersey
Stillwater Township School District,Stillwater Township,Sussex,New Jersey
Stone Harbor School District,Stone Harbor,Cape May,New Jersey
