School District,City,County,State,,,,,,,,,,"Alexander, Anamoose, Menoken, Ashley, Wimbledon, Beach, Belcourt, Belfield, Beulah, Medora, Bismarck, Bottineau, Bowbells, Bowman, Lignite, Carrington, Cavalier, Center, Casselton, Buxton, Petersburg, Devils Lake, Dickinson, Crosby, Drake, Drayton, Dunseith, Edgeley, Trenton, Elgin, Ellendale, Emerado, Enderlin, Fairmount, Fargo, Fessenden, Finley, Flasher, Fordville, Fort Ransom, Fort Totten, Fort Yates, Gackle, Garrison, Glenburn, Glen Ullin, Grafton, Grafton, Grand Forks, Grenora, Cooperstown, Hankinson, Harvey, Hatton, Hazelton, Hazen, Hebron, Hettinger, Hillsboro, Hope, Cartwright, Jamestown, Kenmare, Kensal, Steele, Killdeer, Kindred, Kulm, Lakota, LaMoure, Langdon, Larimore, Leeds, Plaza, Lidgerwood, Linton, Lisbon, Marion, St. Anthony, Golva, Maddock, Mandan, Mandaree, Manning, Manvel, Mapleton, Tower City, Marmarth, Max, Mayville, McClusky, Watford City, Medina, Menoken, Glenfield, Inkster, Milnor, Minnewaukan, Minot, Minto, Mohall, Montpelier, Mott, Rolla, Munich, Napoleon, Bismarck, Minot, Ray, Newburg, New England, New Rockford, New Salem, New Town, Walhalla, Hunter, Gwinner, Cando, Northwood, Oakes, Oberon, Park River, Parshall, Pingree, Powers Lake, Richardton, Colfax, Rolette, Carson, Rugby, Forman, Sawyer, Scranton, Selfridge, Solen, South Heart, Minot, Stanley, Starkweather, Sterling, St. John, Strasburg, Surrey, Mandan, Towner, Thompson, Tioga, Turtle Lake, Halliday, Underwood, Des Lacs, Valley City, Hoople, Velva, Wahpeton, Warwick, Washburn, West Fargo, Westhope, Roseglen, Williston, Wilton, Wing, Wishek, Wyndmere, East Fairview, Zeeland"
Midkota Public School District,Glenfield,Foster,North Dakota,,,,,,,,,,
Midway Public School District,Inkster,Grand Forks,North Dakota,,,,,,,,,,
Milnor Public School District,Milnor,Sargent,North Dakota,,,,,,,,,,
Minnewaukan Public School District,Minnewaukan,Benson,North Dakota,,,,,,,,,,
Minot Public School District,Minot,Ward,North Dakota,,,,,,,,,,
Minto Public School District,Minto,Walsh,North Dakota,,,,,,,,,,
Mohall-Lansford-Sherwood Public School District,Mohall,Renville,North Dakota,,,,,,,,,,
Montpelier Public School District,Montpelier,Stutsman,North Dakota,,,,,,,,,,
Mott-Regent Public School District,Mott,Hettinger,North Dakota,,,,,,,,,,
Mt. Pleasant School District No. 4,Rolla,Rolette,North Dakota,,,,,,,,,,
Munich Public School District,Munich,Cavalier,North Dakota,,,,,,,,,,
Napoleon Public School District,Napoleon,Logan,North Dakota,,,,,,,,,,
Naughton Public School District,Bismarck,Burleigh,North Dakota,,,,,,,,,,
Nedrose Public School District,Minot,Ward,North Dakota,,,,,,,,,,
Nesson Public School District,Ray,Williams,North Dakota,,,,,,,,,,
Newburg United Public School District,Newburg,Bottineau,North Dakota,,,,,,,,,,
New England Public School District,New England,Hettinger,North Dakota,,,,,,,,,,
New Rockford-Sheyenne Public School District,New Rockford,Eddy,North Dakota,,,,,,,,,,
New Salem-Almont School District,New Salem,Morton,North Dakota,,,,,,,,,,
New Town Public School District,New Town,Mountrail,North Dakota,,,,,,,,,,
North Border School District,Walhalla,Pembina,North Dakota,,,,,,,,,,
Northern Cass Public School District,Hunter,Cass,North Dakota,,,,,,,,,,
North Sargent Public School District,Gwinner,Sargent,North Dakota,,,,,,,,,,
North Star School District,Cando,Towner,North Dakota,,,,,,,,,,
Northwood Public School District,Northwood,Grand Forks,North Dakota,,,,,,,,,,
Oakes Public School District,Oakes,Dickey,North Dakota,,,,,,,,,,
Oberon Public School District,Oberon,Benson,North Dakota,,,,,,,,,,
Park River Public School District,Park River,Walsh,North Dakota,,,,,,,,,,
Parshall Public School District,Parshall,Mountrail,North Dakota,,,,,,,,,,
Pingree-Buchanan Public School District,Pingree,Stutsman,North Dakota,,,,,,,,,,
Powers Lake Public School District,Powers Lake,Burke,North Dakota,,,,,,,,,,
Richardton-Taylor Public School District,Richardton,Stark,North Dakota,,,,,,,,,,
Richland 44 School District,Colfax,Richland,North Dakota,,,,,,,,,,
Rolette Public School District,Rolette,Rolette,North Dakota,,,,,,,,,,
Roosevelt Public School District,Carson,Grant,North Dakota,,,,,,,,,,
Rugby Public School District,Rugby,Pierce,North Dakota,,,,,,,,,,
Sargent Central Public School District,Forman,Sargent,North Dakota,,,,,,,,,,
Sawyer Public School District,Sawyer,Ward,North Dakota,,,,,,,,,,
Scranton Public School District,Scranton,Bowman,North Dakota,,,,,,,,,,
Selfridge Public School District,Selfridge,Sioux,North Dakota,,,,,,,,,,
Solen Public School District,Solen,Sioux,North Dakota,,,,,,,,,,
South Heart Public School District,South Heart,Stark,North Dakota,,,,,,,,,,
