School District,City,County,State
Prentice School District,Prentice,Price,Wisconsin
Prescott School District,Prescott,Pierce,Wisconsin
Princeton School District,Princeton,Green Lake,Wisconsin
Pulaski Community School District,Pulaski,Brown,Wisconsin
Racine Unified School District,Racine,Racine,Wisconsin
Randall Joint No. 1 School District,Twin Lakes,Kenosha,Wisconsin
Randolph School District,Randolph,Dodge,Wisconsin
Random Lake School District,Random Lake,Sheboygan,Wisconsin
Raymond School District,Franksville,Racine,Wisconsin
Reedsburg School District,Reedsburg,Sauk,Wisconsin
Reedsville School District,Reedsville,Manitowoc,Wisconsin
Rhinelander School District,Rhinelander,Oneida,Wisconsin
Rib Lake School District,Rib Lake,Taylor,Wisconsin
Rice Lake Area School District,Rice Lake,Barron,Wisconsin
Richland School District,Richland Center,Richland,Wisconsin
Richmond School District,Delavan,Walworth,Wisconsin
Rio Community School District,Rio,Columbia,Wisconsin
Ripon Area School District,Ripon,Fond du Lac,Wisconsin
Riverdale School District,Muscoda,Grant,Wisconsin
River Falls School District,River Falls,Pierce,Wisconsin
River Ridge School District,Patch Grove,Grant,Wisconsin
River Valley School District,Spring Green,Sauk,Wisconsin
Rosendale-Brandon School District,Brandon,Fond du Lac,Wisconsin
Rosholt School District,Rosholt,Portage,Wisconsin
Royall School District,Elroy,Juneau,Wisconsin
Salem School District,Salem,Kenosha,Wisconsin
Sauk Prairie School District,Prairie du Sac,Sauk,Wisconsin
School District of Cadott Community,Cadott,Chippewa,Wisconsin
School District of Holmen,Holmen,La Crosse,Wisconsin
School District of La Crosse,La Crosse,La Crosse,Wisconsin
School District of Ladysmith,Ladysmith,Rusk,Wisconsin
School District of Marshfield,Marshfield,Wood,Wisconsin
School District of Onalaska,Onalaska,La Crosse,Wisconsin
School District of Somerset,Somerset,St. Croix,Wisconsin
Seneca School District,Seneca,Crawford,Wisconsin
Sevastopol School District,Sturgeon Bay,Door,Wisconsin
Seymour Community School District,Seymour,Outagamie,Wisconsin
Sharon Joint No. 11 School District,Sharon,Walworth,Wisconsin
Shawano School District,Shawano,Shawano,Wisconsin
Sheboygan Area School District,Sheboygan,Sheboygan,Wisconsin
Sheboygan Falls School District,Sheboygan Falls,Sheboygan,Wisconsin
Shell Lake School District,Shell Lake,Washburn,Wisconsin
Shiocton School District,Shiocton,Outagamie,Wisconsin
Shorewood School District,Shorewood,Milwaukee,Wisconsin
Shullsburg School District,Shullsburg,Lafayette,Wisconsin
Silver Lake Joint No. 1 School District,Silver Lake,Kenosha,Wisconsin
Siren School District,Siren,Burnett,Wisconsin
Slinger School District,Slinger,Washington,Wisconsin
Solon Springs School District,Solon Springs,Douglas,Wisconsin
