School District,City,County,State
Edwardsville Community Unit School District,Edwardsville,Madison,Illinois
Effingham Community Unit School District,Effingham,Effingham,Illinois
Egyptian Community Unit School District,Tamms,Alexander,Illinois
Eldorado Community Unit School District,Eldorado,Saline,Illinois
Elementary School District,Mokena,Will,Illinois
Elmhurst School District,Elmhurst,DuPage,Illinois
Elmwood Community Unit School District,Elmwood,Peoria,Illinois
Elmwood Park Community Unit School District,Elmwood Park,Cook,Illinois
El Paso-Gridley Community Unit School District,El Paso,Woodford,Illinois
Elverado Community Unit School District,Elkville,Jackson,Illinois
Elwood Community Consolidated School District,Elwood,Will,Illinois
Emmons School District,Antioch,Lake,Illinois
Erie Community Unit School District,Erie,Whiteside,Illinois
Eswood Community Consolidated District,Lindenwood,Ogle,Illinois
Eureka Community Unit District,Eureka,Woodford,Illinois
Evanston Community Consolidated School District,Evanston,Cook,Illinois
Evanston Township High School District,Evanston,Cook,Illinois
Evergreen Park Community High School District,Evergreen Park,Cook,Illinois
Evergreen Park Elementary School District,Evergreen Park,Cook,Illinois
Ewing Northern Community Consolidated District,Ewing,Franklin,Illinois
Fairfield Community High School District,Fairfield,Wayne,Illinois
Fairfield Public School District,Fairfield,Wayne,Illinois
Fairmont School District,Lockport,Will,Illinois
Fairview School District,Fairview,Fulton,Illinois
Farmington Central Community Unit School District,Farmington,Fulton,Illinois
Farrington Community Consolidated School District,Farrington,Jefferson,Illinois
Fenton Community High School District,Bensenville,DuPage,Illinois
Field Community Consolidated School District,Northbrook,Cook,Illinois
Fieldcrest Community Unit School District,Minonk,Woodford,Illinois
Fisher Community Unit School District,Fisher,Champaign,Illinois
Flanagan-Cornell District,Flanagan,Livingston,Illinois
Flora Community Unit School District,Flora,Clay,Illinois
Flossmoor School District,Flossmoor,Cook,Illinois
Ford Heights School District,Ford Heights,Cook,Illinois
Forest Park School District,Forest Park,Cook,Illinois
Forest Ridge School District,Oak Forest,Cook,Illinois
Forrestville Valley Community Unit School District,Forreston,Ogle,Illinois
Fox Lake School District,Fox Lake,Lake,Illinois
Fox River Grove Consolidated School District,Fox River Grove,McHenry,Illinois
Frankfort Community Consolidated School District,Frankfort,Will,Illinois
Frankfort Community Unit School District,West Frankfort,Franklin,Illinois
Franklin Community Unit School District,Franklin,Morgan,Illinois
Franklin Park School District,Franklin Park,Cook,Illinois
Freeburg Community Consolidated School District,Freeburg,St. Clair,Illinois
Freeburg Community High School District,Freeburg,St. Clair,Illinois
Freeport School District,Freeport,Stephenson,Illinois
Fremont School District,Mundelein,Lake,Illinois
Galatia Community Unit School District,Galatia,Saline,Illinois
Galena Unit School District,Galena,Jo Daviess,Illinois
Galesburg Community Unit School District,Galesburg,Knox,Illinois
Gallatin Community Unit School District,Junction,Gallatin,Illinois
Galva Community Unit School District,Galva,Henry,Illinois
Gardner Community Consolidated School District,Gardner,Grundy,Illinois
Gardner-South Wilmington Township High School District,Gardner,Grundy,Illinois
Gavin School District,Ingleside,Lake,Illinois
Geff Community Consolidated School District,Geff,Wayne,Illinois
General George Patton School District,Riverdale,Cook,Illinois
Geneseo Community Unit School District,Geneseo,Henry,Illinois
Geneva Community Unit School District,Geneva,Kane,Illinois
Genoa Kingston Community Unit School District,Genoa,DeKalb,Illinois
Georgetown-Ridge Farm Community Unit School District,Georgetown,Vermilion,Illinois
Germantown Hills School District,Germantown Hills,Woodford,Illinois
Germantown School District,Germantown,Clinton,Illinois
