School District,City,County,State
Liberty Central School District,Liberty,Sullivan,New York
Lindenhurst Union Free School District,Lindenhurst,Suffolk,New York
Lisbon Central School District,Lisbon,St. Lawrence,New York
Little Falls City School District,Little Falls,Herkimer,New York
Liverpool Central School District,Liverpool,Onondaga,New York
Livingston Manor Central School District,Livingston Manor,Sullivan,New York
Livonia Central School District,Livonia,Livingston,New York
Lockport City School District,Lockport,Niagara,New York
Locust Valley Central School District,Locust Valley,Nassau,New York
Long Beach City School District,Long Beach,Nassau,New York
Long Lake Central School District,Long Lake,Hamilton,New York
Longwood Central School District,Middle Island,Suffolk,New York
Lowville Academy and Central School District,Lowville,Lewis,New York
Lyme Central School District,Chaumont,Jefferson,New York
Lynbrook Union Free School District,Lynbrook,Nassau,New York
Lyncourt Union Free School District,Syracuse,Onondaga,New York
Lyndonville Central School District,Lyndonville,Orleans,New York
Lyons Central School District,Lyons,Wayne,New York
Madison Central School District,Madison,Madison,New York
Madrid-Waddington Central School District,Madrid,St. Lawrence,New York
Mahopac Central School District,Mahopac,Putnam,New York
Maine-Endwell Central School District,Endwell,Broome,New York
Malone Central School District,Malone,Franklin,New York
Malverne Union Free School District,Malverne,Nassau,New York
Mamaroneck Union Free School District,Mamaroneck,Westchester,New York
Manchester-Shortsville Central School District,Manchester,Ontario,New York
Manhasset Union Free School District,Manhasset,Nassau,New York
Marathon Central School District,Marathon,Cortland,New York
Marcellus Central School District,Marcellus,Onondaga,New York
Margaretville Central School District,Margaretville,Delaware,New York
Marion Central School District,Marion,Wayne,New York
Marlboro Central School District,Marlboro,Ulster,New York
Massapequa Union Free School District,Massapequa,Nassau,New York
Massena Central School District,Massena,St. Lawrence,New York
Mattituck-Cutchogue Union Free School District,Mattituck,Suffolk,New York
Mayfield Central School District,Mayfield,Fulton,New York
McGraw Central School District,McGraw,Cortland,New York
Mechanicville City School District,Mechanicville,Saratoga,New York
Medina Central School District,Medina,Orleans,New York
Menands Union Free School District,Menands,Albany,New York
Merrick Union Free School District,Merrick,Nassau,New York
Mexico Academy and Central School District,Mexico,Oswego,New York
Middleburgh Central School District,Middleburgh,Schoharie,New York
Middle Country Central School District,Centereach,Suffolk,New York
Milford Central School District,Milford,Otsego,New York
Millbrook Central School District,Millbrook,Dutchess,New York
Miller Place Union Free School District,Miller Place,Suffolk,New York
Mineola Union Free School District,Mineola,Nassau,New York
Minerva Central School District,Minerva,Essex,New York
Minisink Valley Central School District,Slate Hill,Orange,New York
Monroe-Woodbury Central School District,Central Valley,Orange,New York
Montauk Union Free School District,Montauk,Suffolk,New York
Monticello Central School District,Monticello,Sullivan,New York
Moravia Central School District,Moravia,Cayuga,New York
Moriah Central School District,Port Henry,Essex,New York
Morris Central School District,Morris,Otsego,New York
Morristown Central School District,Morristown,St. Lawrence,New York
Morrisville-Eaton Central School District,Morrisville,Madison,New York
Mount Markham Central School District,West Winfield,Herkimer,New York
Mount Morris Central School District,Mount Morris,Livingston,New York
Mount Pleasant Central School District,Pleasantville,Westchester,New York
Mount Sinai Union Free School District,Mount Sinai,Suffolk,New York
Mount Vernon City School District,Mount Vernon,Westchester,New York
Nanuet Union Free School District,Nanuet,Rockland,New York
Naples Central School District,Naples,Ontario,New York
Newark Central School District,Newark,Wayne,New York
Newark Valley Central School District,Newark Valley,Tioga,New York
Newburgh Enlarged City School District,Newburgh,Orange,New York
Newcomb Central School District,Newcomb,Essex,New York
Newfane Central School District,Newfane,Niagara,New York
Newfield Central School District,Newfield,Tompkins,New York
New Hartford Central School District,New Hartford,Oneida,New York
New Hyde Park-Garden City Park Union Free School District,New Hyde Park,Nassau,New York
New Lebanon Central School District,New Lebanon,Columbia,New York
New Paltz Central School District,New Paltz,Ulster,New York
New Rochelle School District,New Rochelle,Westchester,New York
New Suffolk Common School District,New Suffolk,Suffolk,New York
New York City Department of Education,New York,New York (Manhattan),New York
New York Mills Union Free School District,New York Mills,Oneida,New York
Niagara Falls City School District,Niagara Falls,Niagara,New York
Niagara-Wheatfield Central School District,Sanborn,Niagara,New York
Niskayuna Central School District,Niskayuna,Schenectady,New York
North Babylon Union Free School District,North Babylon,Suffolk,New York
North Bellmore Union Free School District,North Bellmore,Nassau,New York
North Collins Central School District,North Collins,Erie,New York
North Colonie Central School District,Latham,Albany,New York
Northeastern Clinton Central School District,Champlain,Clinton,New York
Northern Adirondack Central School District,Ellenburg Depot,Clinton,New York
North Greenbush Common School District,Wynantskill,Rensselaer,New York
North Merrick Union Free School District,North Merrick,Nassau,New York
Northport-East Northport Union Free School District,Northport,Suffolk,New York
North Rose-Wolcott Central School District,Wolcott,Wayne,New York
North Salem Central School District,North Salem,Westchester,New York
North Shore Central School District,Glen Head,Nassau,New York
North Syracuse Central School District,North Syracuse,Onondaga,New York
North Tonawanda City School District,North Tonawanda,Niagara,New York
Northville Central School District,Northville,Fulton,New York
North Warren Central School District,Chestertown,Warren,New York
Norwich City School District,Norwich,Chenango,New York
Norwood-Norfolk Central School District,Norwood,St. Lawrence,New York
Nyack Union Free School District,Nyack,Rockland,New York
Oakfield-Alabama Central School District,Oakfield,Genesee,New York
Oceanside Union Free School District,Oceanside,Nassau,New York
Odessa-Montour Central School District,Odessa,Schuyler,New York
Ogdensburg City School District,Ogdensburg,St. Lawrence,New York
Olean City School District,Olean,Cattaraugus,New York
Oneida City School District,Oneida,Madison,New York
