School District,City,County,State
Mehlville School District,St. Louis,St. Louis,Missouri
Meramec Valley R-III School District,Pacific,Franklin,Missouri
Mexico School District 59,Mexico,Audrain,Missouri
Miami R-I School District (Bates County),Amoret,Bates,Missouri
Miami R-I School District (Saline County),Miami,Saline,Missouri
Mid-Buchanan County R-V School District,Faucett,Buchanan,Missouri
Middle Grove C-1 School District,Middle Grove,Monroe,Missouri
Midway School District,Cleveland,Cass,Missouri
Milan C-2 School District,Milan,Sullivan,Missouri
Miller County R-III School District,Tuscumbia,Miller,Missouri
Miller R-II School District,Miller,Lawrence,Missouri
Mirabile C-1 School District,Mirabile,Caldwell,Missouri
Missouri City School District 56,Missouri City,Clay,Missouri
Moberly School District,Moberly,Randolph,Missouri
Monett R-I School District,Monett,Barry,Missouri
Moniteau County R-V School District,Jamestown,Moniteau,Missouri
Monroe City R-I School District,Monroe City,Monroe,Missouri
Montgomery County R-II School District,Montgomery City,Montgomery,Missouri
Montrose R-XIV School District,Montrose,Henry,Missouri
Morgan County R-II School District,Stover,Morgan,Missouri
Morgan County R-I School District,Versailles,Morgan,Missouri
Mound City R-II School District,Mound City,Holt,Missouri
Mountain Grove R-III School District,Mountain Grove,Wright,Missouri
Mountain View-Birch Tree R-III School District,Mountain View,Howell,Missouri
Mount Vernon R-V School District,Mount Vernon,Lawrence,Missouri
Naylor R-II School District,Naylor,Ripley,Missouri
Neelyville R-IV School District,Neelyville,Butler,Missouri
Nell Holcomb R-IV School District,Cape Girardeau,Cape Girardeau,Missouri
Neosho R-5 School District,Neosho,Newton,Missouri
Nevada R-V School District,Nevada,Vernon,Missouri
New Bloomfield R-III School District,New Bloomfield,Callaway,Missouri
Newburg R-II School District,Newburg,Phelps,Missouri
New Franklin R-I School District,New Franklin,Howard,Missouri
New Haven School District,New Haven,Franklin,Missouri
New Madrid County R-I School District,New Madrid,New Madrid,Missouri
Newtown-Harris R-III School District,Newtown,Sullivan,Missouri
New York R-IV School District,New York,Lewis,Missouri
Niangua R-V School District,Niangua,Webster,Missouri
Nixa School District,Nixa,Christian,Missouri
Nodaway-Holt R-VII School District,Graham,Nodaway,Missouri
Norborne R-VIII School District,Norborne,Carroll,Missouri
Normandy Schools Collaborative,St. Louis,St. Louis,Missouri
North Andrew County R-VI School District,Rosendale,Andrew,Missouri
North Callaway R-I School District,Kingdom City,Callaway,Missouri
North Daviess R-III School District,Jameson,Daviess,Missouri
Northeast Nodaway County R-V School District,Parnell,Nodaway,Missouri
Northeast Randolph County R-IV School District,Cairo,Randolph,Missouri
Northeast Vernon County R-I School District,Walker,Vernon,Missouri
North Harrison R-III School District,Eagleville,Harrison,Missouri
North Kansas City Schools,Kansas City,Clay,Missouri
North Mercer County R-III School District,Mercer,Mercer,Missouri
North Nodaway County R-VI School District,Hopkins,Nodaway,Missouri
North Pemiscot County R-I School District,Wardell,Pemiscot,Missouri
North Platte County R-I School District,Dearborn,Platte,Missouri
North Shelby School District,Shelbyville,Shelby,Missouri
North St. Francois County R-I School District,Bonne Terre,St. Francois,Missouri
Northwestern R-I School District,Mendon,Chariton,Missouri
Northwest R-I School District,House Springs,Jefferson,Missouri
North Wood R-IV School District,Ellington,Reynolds,Missouri
Norwood R-I School District,Norwood,Wright,Missouri
Oak Grove R-VI School District,Oak Grove,Jackson,Missouri
Oak Hill R-I School District,Latham,Moniteau,Missouri
Oak Ridge R-VI School District,Oak Ridge,Cape Girardeau,Missouri
Odessa R-VII School District,Odessa,Lafayette,Missouri
Oran R-III School District,Oran,Scott,Missouri
Orchard Farm R-V School District,St. Charles,St. Charles,Missouri
Orearville R-IV School District,Orearville,Saline,Missouri
Oregon-Howell R-III School District,Oregon,Holt,Missouri
Orrick R-XI School District,Orrick,Ray,Missouri
Osage County R-III School District,Linn,Osage,Missouri
Osage County R-II School District,Chamois,Osage,Missouri
Osage County R-I School District,Westphalia,Osage,Missouri
Osborn R-O School District,Osborn,DeKalb,Missouri
Osceola School District,Osceola,St. Clair,Missouri
Otterville R-VI School District,Otterville,Cooper,Missouri
Ozark R-VI School District,Ozark,Christian,Missouri
Palmyra R-I School District,Palmyra,Marion,Missouri
Paris R-II School District,Paris,Monroe,Missouri
Park Hill School District,Kansas City,Platte,Missouri
Parkway Schools,Chesterfield,St. Louis,Missouri
Pattonsburg R-II School District,Pattonsburg,Daviess,Missouri
Pattonville School District,St. Ann,St. Louis,Missouri
Pemiscot County R-3 School District,Caruthersville,Pemiscot,Missouri
Perry County 32 School District,Perryville,Perry,Missouri
Pettis County R-V School District,Sedalia,Pettis,Missouri
Pettis County R-XII School District,Green Ridge,Pettis,Missouri
Phelps County R-III School District,Rolla,Phelps,Missouri
Pierce City R-VI School District,Pierce City,Lawrence,Missouri
Pike County R-III School District,Clarksville,Pike,Missouri
Pilot Grove C-4 School District,Pilot Grove,Cooper,Missouri
Plainview R-VIII School District,Springfield,Greene,Missouri
Plato R-V School District,Plato,Texas,Missouri
Platte County R-III School District,Platte City,Platte,Missouri
Pleasant Hill R-III School District,Pleasant Hill,Cass,Missouri
Pleasant Hope R-VI School District,Pleasant Hope,Polk,Missouri
Pleasant View R-VI School District,Trenton,Grundy,Missouri
Polo R-VII School District,Polo,Caldwell,Missouri
Poplar Bluff R-I School District,Poplar Bluff,Butler,Missouri
Portageville School District,Portageville,New Madrid,Missouri
Potosi R-III School District,Potosi,Washington,Missouri
Prairie Home R-V School District,Prairie Home,Cooper,Missouri
Princeton R-V School District,Princeton,Mercer,Missouri
Purdy R-II School District,Purdy,Barry,Missouri
Putnam County R-I School District,Unionville,Putnam,Missouri
Puxico R-VIII School District,Puxico,Stoddard,Missouri
Ralls County R-II School District,Perry,Ralls,Missouri
Raymondville R-7 School District,Raymondville,Texas,Missouri
Raymore-Peculiar R-II School District,Peculiar,Cass,Missouri
Raytown C-2 School District,Raytown,Jackson,Missouri
Reeds Spring R-IV School District,Reeds Spring,Stone,Missouri
Renick R-V School District,Renick,Randolph,Missouri
Republic School District,Republic,Greene,Missouri
Richards R-V School District,Richards,Vernon,Missouri
Rich Hill R-IV School District,Rich Hill,Bates,Missouri
Richland R-I School District,Essex,Stoddard,Missouri
Richland R-IV School District,Richland,Pulaski,Missouri
Richmond R-XVI School District,Richmond,Ray,Missouri
Richwoods R-VII School District,Richwoods,"Franklin, Washington",Missouri
Ridgeway R-V School District,Ridgeway,Harrison,Missouri
Ripley County R-III School District,Doniphan,Ripley,Missouri
Ripley County R-IV School District,Naylor,Ripley,Missouri
Risco R-II School District,Risco,New Madrid,Missouri
Ritenour School District,St. Louis,St. Louis,Missouri
Riverview Gardens School District,St. Louis,St. Louis,Missouri
Rock Port R-II School District,Rock Port,Atchison,Missouri
Rockwood School District,Eureka,St. Louis,Missouri
Rolla 31 School District,Rolla,Phelps,Missouri
Roscoe C-1 School District,Roscoe,St. Clair,Missouri
Salem R-80 School District,Salem,Dent,Missouri
Salisbury R-IV School District,Salisbury,Chariton,Missouri
Santa Fe R-X School District,Alma,Lafayette,Missouri
Sarcoxie R-II School District,Sarcoxie,Jasper,Missouri
Savannah R-III School District,Savannah,Andrew,Missouri
School of The Osage R-II School District,Osage Beach,Camden,Missouri
Schuyler County R-I School District,Lancaster,Schuyler,Missouri
Scotland County R-I School District,Memphis,Scotland,Missouri
Scott City R-I School District,Scott City,Scott,Missouri
Scott County Central Schools,Sikeston,Scott,Missouri
Scott County R-IV School District,Benton,Scott,Missouri
Sedalia 200 School District,Sedalia,Pettis,Missouri
Senath-Hornersville C-8 School District,Senath,Dunklin,Missouri
Seneca R-VII School District,Seneca,Newton,Missouri
Seymour R-II School District,Seymour,Webster,Missouri
Shawnee R-III School District,Shawnee,Cape Girardeau,Missouri
Shelby County R-IV School District,Shelbina,Shelby,Missouri
Sheldon R-VIII School District,Sheldon,Vernon,Missouri
Shell Knob 78 School District,Shell Knob,Barry,Missouri
Sherwood Cass R-VIII School District,Creighton,Cass,Missouri
Sikeston School District,Sikeston,Scott,Missouri
Silex R-I School District,Silex,Lincoln,Missouri
Skyline R-II School District,Urbana,Hickory,Missouri
Slater School District,Slater,Saline,Missouri
Smithton R-VI School District,Smithton,Pettis,Missouri
Smithville School District,Smithville,Clay,Missouri
South Callaway R-II Schools,Mokane,Callaway,Missouri
Southern Boone County R-I School District,Ashland,Boone,Missouri
Southern Reynolds County R-IV School District,Ellington,Reynolds,Missouri
South Harrison School District,Bethany,Harrison,Missouri
South Holt County R-I School District,Oregon,Holt,Missouri
South Iron County R-I School District,Annapolis,Iron,Missouri
Southland School District,Cardwell,Dunklin,Missouri
South Nodaway County R-IV School District,Barnard,Nodaway,Missouri
South Pemiscot Schools,Steele,Pemiscot,Missouri
Southwest Livingston County R-I School District,Ludlow,Livingston,Missouri
Southwest R-V School District,Washburn,Barry,Missouri
Sparta R-III School District,Sparta,Christian,Missouri
Spickard R-II School District,Spickard,Grundy,Missouri
Spokane R-VII School District,Spokane,Christian,Missouri
Spring Bluff R-XV School District,Sullivan,Franklin,Missouri
Springfield Public Schools,Springfield,Greene,Missouri
Stanberry R-II School District,Stanberry,Gentry,Missouri
St. Clair R-XIII School District,St. Clair,Franklin,Missouri
Steelville School District,Steelville,Crawford,Missouri
Ste. Genevieve County R-II School District,Ste. Genevieve,Ste. Genevieve,Missouri
St. Elizabeth R-IV School District,St. Elizabeth,Miller,Missouri
Stewartsville C-2 School District,Stewartsville,DeKalb,Missouri
St. James R-I School District,St. James,Phelps,Missouri
St. Joseph School District,St. Joseph,Buchanan,Missouri
St. Louis Public Schools,St. Louis,St. Louis city,Missouri
Stockton R-I School District,Stockton,Cedar,Missouri
Stoutland R-II School District,Stoutland,Camden,Missouri
Strafford R-VI School District,Strafford,Greene,Missouri
Strain-Japan R-XVI School District,Strain,Franklin,Missouri
Strasburg C-3 School District,Strasburg,Cass,Missouri
Sturgeon R-V School District,Sturgeon,Boone,Missouri
Success R-VI School District,Success,Texas,Missouri
Sullivan School District,Sullivan,Franklin,Missouri
Summersville R-II School District,Summersville,Texas,Missouri
Sunrise R-IX School District,Sunrise Beach,Camden,Missouri
Swedeborg R-III School District,Swedeborg,Pulaski,Missouri
Sweet Springs R-VII School District,Sweet Springs,Saline,Missouri
Taneyville R-II School District,Taneyville,Taney,Missouri
Tarkio R-I School District,Tarkio,Atchison,Missouri
Thayer R-II School District,Thayer,Oregon,Missouri
Thornfield R-I School District,Thornfield,Ozark,Missouri
Tina-Avalon R-II School District,Tina,Carroll,Missouri
Tipton R-VI School District,Tipton,Moniteau,Missouri
Trenton R-IX School District,Trenton,Grundy,Missouri
Tri-County R-VII School District,Jamesport,Daviess,Missouri
Twin Rivers R-X School District,Broseley,Butler,Missouri
Union R-XI School District,Union,Franklin,Missouri
Union Star R-II School District,Union Star,DeKalb,Missouri
University City School District,University City,St. Louis,Missouri
Valley Park School District,Valley Park,St. Louis,Missouri
Valley R-VI School District,Caledonia,Washington,Missouri
Van Buren R-I School District,Van Buren,Carter,Missouri
Van-Far School District,Vandalia,Audrain,Missouri
Verona R-VII School District,Verona,Lawrence,Missouri
Walnut Grove R-V School District,Walnut Grove,Greene,Missouri
Warren County R-III School District,Warrenton,Warren,Missouri
Warrensburg R-VI School District,Warrensburg,Johnson,Missouri
Warsaw R-IX School District,Warsaw,Benton,Missouri
Washington School District,Washington,Franklin,Missouri
Waynesville R-VI Schools,Waynesville,Pulaski,Missouri
Weaubleau R-III School District,Weaubleau,Hickory,Missouri
Webb City R-VII School District,Webb City,Jasper,Missouri
Webster Groves School District,Webster Groves,St. Louis,Missouri
Wellington-Napoleon R-IX School District,Wellington,Lafayette,Missouri
Wellsville-Middletown R-I School District,Wellsville,Montgomery,Missouri
Wentzville R-IV School District,Wentzville,St. Charles,Missouri
West Nodaway County R-I School District,Burlington Junction,Nodaway,Missouri
West Plains R-7 School District,West Plains,Howell,Missouri
West Platte County R-II School District,Weston,Platte,Missouri
Westran R-I School District,Huntsville,Randolph,Missouri
West St. Francois County R-IV School District,Leadwood,St. Francois,Missouri
Westview C-6 School District,Westview,Cape Girardeau,Missouri
Wheatland R-II School District,Wheatland,Hickory,Missouri
Wheaton R-III School District,Wheaton,Barry,Missouri
Willard School District,Willard,Greene,Missouri
Willow Springs R-IV School District,Willow Springs,Howell,Missouri
Windsor C-1 School District,Windsor,Henry,Missouri
Winfield School District,Winfield,Lincoln,Missouri
Winona R-III School District,Winona,Shannon,Missouri
Winston R-VI School District,Winston,Daviess,Missouri
Woodland R-IV School District,Marble Hill,Bollinger,Missouri
Worth County R-III School District,Grant City,Worth,Missouri
Wright City R-II School District,Wright City,Warren,Missouri
Zalma R-V School District,Zalma,Bollinger,Missouri
